Time,Susceptible,Infected,Recovered,Dead
0,299,1,0,0
1,299,1,0,0
2,299,1,0,0
3,299,1,0,0
4,299,1,0,0
5,299,1,0,0
6,299,1,0,0
7,299,1,0,0
8,299,1,0,0
9,299,1,0,0
10,299,1,0,0
11,299,1,0,0
12,299,1,0,0
13,299,1,0,0
14,299,1,0,0
15,299,1,0,0
16,299,1,0,0
17,299,1,0,0
18,299,1,0,0
19,299,1,0,0
20,299,1,0,0
21,299,1,0,0
22,299,1,0,0
23,299,1,0,0
24,299,1,0,0
25,299,1,0,0
26,299,1,0,0
27,299,1,0,0
28,299,1,0,0
29,299,1,0,0
30,299,1,0,0
31,299,1,0,0
32,299,1,0,0
33,299,1,0,0
34,299,1,0,0
35,299,1,0,0
36,299,1,0,0
37,299,1,0,0
38,299,1,0,0
39,299,1,0,0
40,299,1,0,0
41,299,1,0,0
42,299,1,0,0
43,299,1,0,0
44,299,1,0,0
45,299,1,0,0
46,299,1,0,0
47,299,1,0,0
48,299,1,0,0
49,299,1,0,0
50,299,1,0,0
51,299,1,0,0
52,299,1,0,0
53,299,1,0,0
54,299,1,0,0
55,299,1,0,0
56,299,1,0,0
57,299,1,0,0
58,299,1,0,0
59,299,1,0,0
60,299,1,0,0
61,299,1,0,0
62,299,1,0,0
63,299,1,0,0
64,299,1,0,0
65,299,1,0,0
66,299,1,0,0
67,299,1,0,0
68,299,1,0,0
69,299,1,0,0
70,299,1,0,0
71,298,2,0,0
72,298,2,0,0
73,298,2,0,0
74,298,2,0,0
75,298,2,0,0
76,298,2,0,0
77,298,2,0,0
78,298,2,0,0
79,298,2,0,0
80,298,2,0,0
81,298,2,0,0
82,298,2,0,0
83,298,2,0,0
84,298,2,0,0
85,298,2,0,0
86,298,2,0,0
87,298,2,0,0
88,298,2,0,0
89,298,2,0,0
90,298,2,0,0
91,298,2,0,0
92,298,2,0,0
93,298,2,0,0
94,298,2,0,0
95,298,2,0,0
96,298,2,0,0
97,298,2,0,0
98,298,2,0,0
99,298,2,0,0
100,298,2,0,0
101,298,2,0,0
102,298,2,0,0
103,298,2,0,0
104,298,2,0,0
105,298,2,0,0
106,297,3,0,0
107,297,3,0,0
108,297,3,0,0
109,297,3,0,0
110,297,3,0,0
111,297,3,0,0
112,297,3,0,0
113,297,3,0,0
114,297,3,0,0
115,297,3,0,0
116,297,3,0,0
117,297,3,0,0
118,297,3,0,0
119,297,3,0,0
120,297,3,0,0
121,297,3,0,0
122,297,3,0,0
123,297,3,0,0
124,297,3,0,0
125,297,3,0,0
126,297,3,0,0
127,297,3,0,0
128,297,3,0,0
129,297,3,0,0
130,297,3,0,0
131,297,3,0,0
132,297,3,0,0
133,296,4,0,0
134,296,4,0,0
135,296,4,0,0
136,296,4,0,0
137,296,4,0,0
138,295,5,0,0
139,295,5,0,0
140,295,5,0,0
141,294,6,0,0
142,293,7,0,0
143,293,7,0,0
144,293,7,0,0
145,293,7,0,0
146,293,7,0,0
147,293,7,0,0
148,293,7,0,0
149,293,7,0,0
150,293,7,0,0
151,293,7,0,0
152,293,7,0,0
153,293,7,0,0
154,293,7,0,0
155,293,7,0,0
156,293,7,0,0
157,293,7,0,0
158,293,7,0,0
159,293,7,0,0
160,293,7,0,0
161,293,7,0,0
162,293,7,0,0
163,293,7,0,0
164,293,7,0,0
165,293,7,0,0
166,293,7,0,0
167,293,7,0,0
168,293,7,0,0
169,293,7,0,0
170,293,7,0,0
171,293,7,0,0
172,293,7,0,0
173,293,7,0,0
174,293,7,0,0
175,293,7,0,0
176,293,7,0,0
177,293,7,0,0
178,293,7,0,0
179,293,7,0,0
180,293,7,0,0
181,293,7,0,0
182,293,7,0,0
183,293,7,0,0
184,293,7,0,0
185,293,7,0,0
186,293,7,0,0
187,293,7,0,0
188,293,7,0,0
189,293,7,0,0
190,293,7,0,0
191,293,7,0,0
192,293,7,0,0
193,293,7,0,0
194,293,7,0,0
195,292,8,0,0
196,292,8,0,0
197,292,8,0,0
198,292,8,0,0
199,292,8,0,0
200,292,8,0,0
201,292,8,0,0
202,292,8,0,0
203,292,8,0,0
204,292,8,0,0
205,292,8,0,0
206,292,8,0,0
207,292,8,0,0
208,292,8,0,0
209,292,8,0,0
210,292,8,0,0
211,292,8,0,0
212,292,8,0,0
213,292,8,0,0
214,292,8,0,0
215,292,8,0,0
216,292,8,0,0
217,292,8,0,0
218,292,8,0,0
219,292,8,0,0
220,292,8,0,0
221,292,8,0,0
222,292,8,0,0
223,291,9,0,0
224,291,9,0,0
225,291,9,0,0
226,291,9,0,0
227,291,9,0,0
228,291,9,0,0
229,291,9,0,0
230,291,9,0,0
231,291,9,0,0
232,291,9,0,0
233,291,9,0,0
234,291,9,0,0
235,291,9,0,0
236,291,9,0,0
237,291,9,0,0
238,291,9,0,0
239,291,9,0,0
240,291,9,0,0
241,291,9,0,0
242,291,9,0,0
243,291,9,0,0
244,291,9,0,0
245,291,9,0,0
246,291,9,0,0
247,291,9,0,0
248,291,9,0,0
249,291,9,0,0
250,291,9,0,0
251,291,9,0,0
252,291,9,0,0
253,291,9,0,0
254,290,10,0,0
255,290,10,0,0
256,290,10,0,0
257,290,10,0,0
258,290,10,0,0
259,289,11,0,0
260,288,12,0,0
261,288,12,0,0
262,288,12,0,0
263,288,12,0,0
264,288,12,0,0
265,288,12,0,0
266,288,12,0,0
267,288,12,0,0
268,287,13,0,0
269,287,13,0,0
270,287,13,0,0
271,287,13,0,0
272,287,13,0,0
273,287,13,0,0
274,287,13,0,0
275,287,13,0,0
276,287,13,0,0
277,287,13,0,0
278,287,13,0,0
279,287,13,0,0
280,287,13,0,0
281,286,14,0,0
282,286,14,0,0
283,286,14,0,0
284,286,14,0,0
285,286,14,0,0
286,286,14,0,0
287,286,14,0,0
288,286,14,0,0
289,286,14,0,0
290,286,14,0,0
291,286,14,0,0
292,286,14,0,0
293,286,14,0,0
294,286,14,0,0
295,286,14,0,0
296,286,14,0,0
297,286,14,0,0
298,286,14,0,0
299,286,14,0,0
300,286,14,0,0
301,286,14,0,0
302,286,14,0,0
303,286,14,0,0
304,286,14,0,0
305,286,14,0,0
306,286,14,0,0
307,286,14,0,0
308,286,14,0,0
309,286,14,0,0
310,286,14,0,0
311,286,14,0,0
312,286,14,0,0
313,286,14,0,0
314,286,14,0,0
315,286,14,0,0
316,286,14,0,0
317,286,14,0,0
318,285,15,0,0
319,285,15,0,0
320,285,15,0,0
321,285,15,0,0
322,285,15,0,0
323,285,15,0,0
324,285,15,0,0
325,285,15,0,0
326,285,15,0,0
327,285,15,0,0
328,285,15,0,0
329,285,15,0,0
330,285,15,0,0
331,285,15,0,0
332,285,15,0,0
333,285,15,0,0
334,285,15,0,0
335,285,15,0,0
336,285,15,0,0
337,285,15,0,0
338,285,15,0,0
339,285,15,0,0
340,285,15,0,0
341,285,15,0,0
342,285,15,0,0
343,285,15,0,0
344,285,15,0,0
345,285,15,0,0
346,285,15,0,0
347,285,15,0,0
348,285,15,0,0
349,285,15,0,0
350,285,15,0,0
351,285,15,0,0
352,285,15,0,0
353,285,15,0,0
354,284,16,0,0
355,284,16,0,0
356,283,17,0,0
357,283,17,0,0
358,283,17,0,0
359,283,17,0,0
360,283,17,0,0
361,283,17,0,0
362,283,17,0,0
363,283,17,0,0
364,283,17,0,0
365,283,17,0,0
366,283,17,0,0
367,283,17,0,0
368,283,17,0,0
369,283,17,0,0
370,283,17,0,0
371,283,17,0,0
372,283,17,0,0
373,283,17,0,0
374,283,17,0,0
375,283,17,0,0
376,283,17,0,0
377,283,17,0,0
378,283,17,0,0
379,283,17,0,0
380,283,17,0,0
381,283,17,0,0
382,283,17,0,0
383,283,17,0,0
384,283,17,0,0
385,283,17,0,0
386,283,17,0,0
387,283,17,0,0
388,283,17,0,0
389,283,17,0,0
390,283,17,0,0
391,283,17,0,0
392,283,17,0,0
393,283,17,0,0
394,283,17,0,0
395,283,17,0,0
396,283,17,0,0
397,283,17,0,0
398,283,17,0,0
399,283,17,0,0
400,283,17,0,0
401,282,18,0,0
402,282,18,0,0
403,282,18,0,0
404,282,18,0,0
405,282,18,0,0
406,282,18,0,0
407,282,18,0,0
408,282,18,0,0
409,282,18,0,0
410,282,18,0,0
411,282,18,0,0
412,282,18,0,0
413,282,18,0,0
414,281,19,0,0
415,281,19,0,0
416,281,19,0,0
417,281,19,0,0
418,280,20,0,0
419,280,20,0,0
420,280,20,0,0
421,280,20,0,0
422,280,20,0,0
423,280,20,0,0
424,280,20,0,0
425,280,20,0,0
426,280,20,0,0
427,279,21,0,0
428,278,22,0,0
429,278,22,0,0
430,278,22,0,0
431,278,22,0,0
432,278,22,0,0
433,278,22,0,0
434,278,22,0,0
435,278,22,0,0
436,278,22,0,0
437,278,22,0,0
438,278,22,0,0
439,278,22,0,0
440,278,22,0,0
441,278,22,0,0
442,278,22,0,0
443,278,22,0,0
444,278,22,0,0
445,278,22,0,0
446,278,22,0,0
447,278,22,0,0
448,278,22,0,0
449,278,22,0,0
450,278,22,0,0
451,278,22,0,0
452,278,22,0,0
453,278,22,0,0
454,278,22,0,0
455,278,22,0,0
456,278,22,0,0
457,278,22,0,0
458,278,22,0,0
459,278,22,0,0
460,278,22,0,0
461,278,22,0,0
462,278,22,0,0
463,278,22,0,0
464,278,22,0,0
465,277,23,0,0
466,277,23,0,0
467,277,23,0,0
468,277,23,0,0
469,277,23,0,0
470,277,23,0,0
471,277,23,0,0
472,277,23,0,0
473,277,23,0,0
474,277,23,0,0
475,277,23,0,0
476,277,23,0,0
477,277,23,0,0
478,277,23,0,0
479,275,25,0,0
480,275,25,0,0
481,275,25,0,0
482,275,25,0,0
483,275,25,0,0
484,275,25,0,0
485,275,25,0,0
486,275,25,0,0
487,275,25,0,0
488,275,25,0,0
489,275,25,0,0
490,275,25,0,0
491,275,25,0,0
492,275,25,0,0
493,275,25,0,0
494,275,25,0,0
495,275,25,0,0
496,275,25,0,0
497,275,25,0,0
498,275,25,0,0
499,275,25,0,0
500,275,25,0,0
501,275,25,0,0
502,275,25,0,0
503,275,25,0,0
504,275,25,0,0
505,275,25,0,0
506,275,25,0,0
507,275,25,0,0
508,275,25,0,0
509,275,25,0,0
510,274,26,0,0
511,274,26,0,0
512,274,26,0,0
513,274,26,0,0
514,274,26,0,0
515,274,26,0,0
516,274,26,0,0
517,274,26,0,0
518,274,26,0,0
519,274,26,0,0
520,274,26,0,0
521,274,26,0,0
522,274,26,0,0
523,274,26,0,0
524,274,26,0,0
525,274,26,0,0
526,274,26,0,0
527,273,27,0,0
528,273,27,0,0
529,273,27,0,0
